,census_tract,score
0,100,64.9087237703
1,201,48.3359299415
2,202,44.8420024687
3,300,24.9764187113
4,400,30.71072814
5,500,26.4775075989
6,600,35.9544744409
7,700,40.1703210607
8,800,30.6154334986
9,900,23.6848774676
10,1000,24.4866633662
11,1100,22.0951527873
12,1200,19.7662184865
13,1300,23.8295676608
14,1400,20.0007589102
15,1500,11.4022515457
16,1600,13.5795875796
17,1700,13.7984245436
18,1800,19.5908071937
19,1900,44.4878413256
20,2001,74.4279139747
21,2002,35.1496571076
22,2100,26.9923786989
23,2201,10.0352482883
24,2202,17.2320454175
25,2301,16.3498178523
26,2302,11.0855157928
27,2401,10.4794495205
28,2402,15.5268276957
29,2501,19.9352985557
30,2502,17.3223825365
31,2601,6.37838625343
32,2602,11.1910138318
33,2702,28.8318178757
34,2703,36.2100060786
35,2705,32.41902083
36,2707,8.59386347502
37,2708,15.6413492378
38,2709,7.23328521281
39,2710,11.2729336531
40,2711,19.4534969663
41,2712,35.0445221177
42,2801,17.0086812379
43,2803,29.0500210564
44,2804,16.7748263041
45,2902,33.2591212539
46,2903,38.9203258692
47,2904,14.1361507581
48,2905,20.4915899226
49,3001,19.7837630868
50,3003,47.4048755207
51,3004,26.1748826496
52,3101,45.7773683821
53,3103,39.4092772223
54,3105,41.4594709079
55,3107,32.5929141096
56,3109,43.0082862541
57,3111,27.0617589072
58,3112,28.5362387513
59,3113,52.1039444174
60,3114,44.3499131326
61,3115,25.7270209301
62,3201,17.2082288012
63,3202,28.0587450846
64,3208,33.5713493492
65,3209,26.267783764
66,3211,41.8680360595
67,3212,44.0285111165
68,3213,43.9619876681
69,3214,27.402930808
70,3301,30.7857328658
71,3303,4.99174264307
72,3304,35.1068042251
73,3305,9.95388827184
74,3401,31.7386999251
75,3403,10.2622860891
76,3404,27.8668700062
77,3501,15.3083738319
78,3502,19.3014077171
79,3601,14.167565934
80,3602,13.3238209064
81,3603,12.7277920401
82,3800,3.0224780839
83,3901,20.0835186661
84,3902,23.0887510964
85,4000,15.502207928
86,4100,29.5622931933
87,4200,36.3662753698
88,4300,20.2937530199
89,4400,18.8827617952
90,4501,19.372263472
91,4600,12.0881336583
92,4700,19.9615342792
93,4800,27.3783885211
94,4900,20.5191121435
95,5000,9.9823145961
96,5100,32.8640411247
97,5200,16.0743225814
98,5300,41.5095929402
99,5400,41.4612747455
100,5500,30.5008008565
101,5600,5.55343395482
102,5700,53.5925825528
103,5800,25.6532765575
104,5900,26.4763578795
105,6000,56.9752917554
106,6100,37.6455890907
107,6200,33.2806121553
108,6300,1.45569122038
109,6500,68.2846833215
110,6600,11.8974265307
111,6801,14.7645947594
112,6802,22.0521987716
113,6900,32.6149229305
114,7002,63.1815191356
115,7100,72.5095903157
116,7200,37.3469460738
117,7301,10.1034494614
118,7302,54.1736437185
119,7400,15.661924884
120,7501,1.13249708081
121,7502,4.11836941752
122,7600,43.8312412651
123,7701,5.2588171696
124,7702,2.40136933504
125,7800,5.96959630518
126,7903,5.66923900216
127,7905,11.9879147611
