,census_tract,score
235,10003,27.918362866
236,10004,33.0938540269
237,10005,35.6184818881
238,10009,21.0605175477
239,10010,31.270466124
240,10011,28.4652601038
241,10012,25.0096021401
242,10013,31.9209735904
243,10014,38.8929581103
244,10015,32.3314355088
245,10103,31.7327355341
246,10104,35.3033838588
247,10106,26.419342321
248,10107,12.5802736748
249,10109,2.78296704021
250,10110,20.4826414985
251,10111,31.0057962523
252,10112,3.60832064359
253,10800,30.9230342729
254,11000,29.4419774734
255,11100,21.5375054806
256,11300,2.95644815708
257,11902,36.2127351108
258,13205,8.34558985156
259,13313,0.374029579333
260,13421,18.3672166081
261,13604,16.7080217442
262,14102,34.606016594
263,14500,37.2420909152
264,14803,19.7142016351
265,14806,33.5923347072
266,15000,6.47805856276
267,15501,34.2643759156
268,16502,21.6571953099
269,17006,25.1077321345
270,17014,90.347068234
271,17015,13.2191044436
272,17018,19.8897702991
273,17019,50.2216233437
274,17020,20.3036895443
275,17022,39.1698843255
276,17029,2.36316828539
277,17030,0.213212083747
278,17031,6.97116049145
279,17032,8.44869410412
280,17033,17.3665012123
281,17034,10.2973852798
282,17035,26.4407521846
283,17036,18.7076400764
284,17037,15.9447439128
285,17039,7.2637374908
286,17042,1.73265586239
287,17043,6.44394533956
288,17044,2.86898157868
289,17045,3.64722995134
290,17046,17.1300383725
291,17047,15.9292768752
292,17050,26.0450156917
293,17051,33.0758056029
294,17052,17.1603673802
295,17054,20.7077095462
296,17055,12.4929534494
297,17056,16.7011657456
298,17403,37.0312157117
299,18802,35.5703476312
300,19103,27.1742666011
301,19905,31.532150858
302,20017,23.2584697763
303,20404,18.9523835943
304,20706,23.9998461946
305,20707,13.9382684916
306,20709,17.8276272779
307,20710,37.1244228424
308,21100,21.091661525
309,21302,41.8449182239
310,21400,22.2378279126
311,21500,1.09451212704
312,21800,40.214446853
