,census_tract,code_simple,score
156,8339.0,11.0,57.2624657174
157,8340.0,11.0,43.585852805
158,8341.0,11.0,27.1549714057
159,8343.0,11.0,14.6462312826
160,8344.0,11.0,48.3958012201
161,8345.0,11.0,61.4186585796
162,8346.0,11.0,68.2216579273
163,8347.0,11.0,44.7473541407
164,8348.0,11.0,43.3682030335
165,8349.0,11.0,40.7325858559
166,8350.0,11.0,96.8542088606
167,8351.0,11.0,36.0540127609
168,8352.0,11.0,35.1634508202
169,8353.0,11.0,41.0367090482
170,8354.0,11.0,40.9109811354
171,8355.0,11.0,37.7638495853
172,8356.0,11.0,36.1062537412
173,8357.0,11.0,35.2573199402
174,8358.0,11.0,43.6138868055
175,8359.0,11.0,20.0255124801
176,8360.0,11.0,49.8850819399
177,8361.0,11.0,37.7934612246
178,8362.0,11.0,41.2900141286
179,8363.0,11.0,14.3623159602
180,8364.0,11.0,31.4697907359
181,8365.0,11.0,50.297431561
182,8366.0,11.0,55.2452167808
183,8501.0,11.0,60.8542449135
184,8502.0,11.0,57.6544115257
185,8503.0,11.0,55.5901582733
186,8504.0,11.0,49.0179858924
187,8505.0,11.0,52.4614517616
188,8506.0,11.0,44.9537789986
189,8507.0,11.0,39.9330499998
190,8509.0,11.0,47.369526587
191,8510.0,11.0,37.2006459657
192,8511.0,11.0,99.9960466386
193,8512.0,11.0,56.2524997907
194,8513.0,11.0,58.0151720923
195,8600.0,11.0,17.8103806186
196,8701.0,11.0,10.3943390621
197,8702.0,11.0,40.2963965092
198,8800.0,11.0,15.1694189244
199,8901.0,11.0,42.3032935484
200,8902.0,11.0,36.6334712875
201,9000.0,11.0,16.1169789178
202,9101.0,11.0,63.6802419212
203,9102.0,11.0,35.4055929029
204,9103.0,11.0,63.998524295
205,9104.0,11.0,57.5748815794
206,9106.0,11.0,31.7548026922
207,9107.0,11.0,38.8495405049
208,9201.0,11.0,15.6853712015
209,9202.0,11.0,43.909800613
210,9301.0,11.0,35.3753941371
211,9304.0,11.0,70.260595574
212,9305.0,11.0,33.6058286051
213,9306.0,11.0,44.3752634341
214,9400.0,11.0,0.00553109897525
215,9502.0,11.0,47.842049264
216,9504.0,11.0,42.4164994477
217,9505.0,11.0,58.6385486649
218,9506.0,11.0,55.7347634462
219,9507.0,11.0,49.6395479701
220,9509.0,11.0,50.7684555714
221,9510.0,11.0,4.05197528666
222,9511.0,11.0,2.20315855504
223,9602.0,11.0,65.97840517
224,9603.0,11.0,56.0497187108
225,9604.0,11.0,55.4341032222
226,9703.0,11.0,65.1185809337
227,9704.0,11.0,60.4934170966
228,9705.0,11.0,60.413656658
229,9706.0,11.0,72.317239008
230,9801.0,11.0,55.1069836079
231,9802.0,11.0,48.1655835862
232,9804.0,11.0,58.599022799
233,9805.0,11.0,57.3762876841
234,10001.0,11.0,38.0363974952
235,10003.0,11.0,28.6711839871
236,10004.0,11.0,18.6367641944
237,10005.0,11.0,11.0100339528
238,10009.0,11.0,8.34175750112
239,10010.0,11.0,17.3535540558
240,10011.0,11.0,23.4446490729
241,10012.0,11.0,12.5098535075
242,10013.0,11.0,13.5782984097
243,10014.0,11.0,22.9893840944
244,10015.0,11.0,24.9383256433
245,10103.0,11.0,22.1920448083
246,10104.0,11.0,42.0119508937
247,10106.0,11.0,18.9920363739
248,10107.0,11.0,17.4072045878
249,10109.0,11.0,7.62923236218
250,10110.0,11.0,12.8538117788
251,10111.0,11.0,13.0844963703
252,10112.0,11.0,3.3436756266
253,10800.0,11.0,58.7431151088
254,11000.0,11.0,43.4270625387
255,11100.0,11.0,52.1949003379
256,11300.0,11.0,6.11360750743
257,11902.0,11.0,42.6453807314
258,13205.0,11.0,1.53132503551
259,13313.0,11.0,13.3550084022
260,13421.0,11.0,40.0464621793
261,13604.0,11.0,40.3773238699
262,14102.0,11.0,32.8723056517
263,14500.0,11.0,35.4662477755
264,14803.0,11.0,36.1196553937
265,14806.0,11.0,25.4914215108
266,15000.0,11.0,26.1923956367
267,15501.0,11.0,51.7828438568
268,16502.0,11.0,19.4047431291
269,17006.0,11.0,58.8609383407
270,17014.0,11.0,85.2714041529
271,17015.0,11.0,53.6202439298
272,17018.0,11.0,38.5016292871
273,17019.0,11.0,72.5476582978
274,17020.0,11.0,49.5929295856
275,17022.0,11.0,66.2019325649
276,17029.0,11.0,35.9552776216
277,17030.0,11.0,39.1826456818
278,17031.0,11.0,35.1825525291
279,17032.0,11.0,55.5193790855
280,17033.0,11.0,55.3513109542
281,17034.0,11.0,39.4044825039
282,17035.0,11.0,22.4620394839
283,17036.0,11.0,51.0233046596
284,17037.0,11.0,37.6321610185
285,17039.0,11.0,47.4422086067
286,17042.0,11.0,38.9372457025
287,17043.0,11.0,51.5460105606
288,17044.0,11.0,39.199915843
289,17045.0,11.0,32.9668519549
290,17046.0,11.0,58.438058938
291,17047.0,11.0,57.98756591
292,17050.0,11.0,37.1932707031
293,17051.0,11.0,52.1510073109
294,17052.0,11.0,51.3218128044
295,17054.0,11.0,61.8760838735
296,17055.0,11.0,51.6819330023
297,17056.0,11.0,47.1764942793
298,17403.0,11.0,57.7770511473
299,18802.0,11.0,61.2019333214
300,19103.0,11.0,35.4849136229
301,19905.0,11.0,43.446348141
302,20017.0,11.0,21.517103391
303,20404.0,11.0,32.3227633519
304,20706.0,11.0,49.3303914921
305,20707.0,11.0,13.5192394068
306,20709.0,11.0,41.8409834455
307,20710.0,11.0,64.1726459279
308,21100.0,11.0,31.5821424824
309,21302.0,11.0,6.8619565272
310,21400.0,11.0,33.5963359641
311,21500.0,11.0,45.9554736978
312,21800.0,11.0,65.2211412872
313,100.0,21.0,75.1990452361
314,201.0,21.0,67.7899767502
315,202.0,21.0,58.5827901586
316,300.0,21.0,55.6130899385
317,400.0,21.0,59.353233123
318,500.0,21.0,54.6194442779
319,600.0,21.0,54.1842808922
320,700.0,21.0,56.3498204659
321,800.0,21.0,35.5099727384
322,900.0,21.0,43.3185032725
323,1000.0,21.0,54.636959585
324,1100.0,21.0,53.5731894974
325,1200.0,21.0,40.3240126641
326,1300.0,21.0,46.2438510124
327,1400.0,21.0,51.8456036072
328,1500.0,21.0,44.1076356917
329,1600.0,21.0,22.9625489191
330,1700.0,21.0,50.2712792862
331,1800.0,21.0,49.1309787179
332,1900.0,21.0,60.8667685272
333,2001.0,21.0,73.5667122713
334,2002.0,21.0,59.4898392458
335,2100.0,21.0,47.6504033598
336,2201.0,21.0,7.94594557575
337,2202.0,21.0,8.26998500488
338,2301.0,21.0,14.542696238
339,2302.0,21.0,8.73917124436
340,2401.0,21.0,21.9992835037
341,2402.0,21.0,12.4840761014
342,2501.0,21.0,13.9467796905
343,2502.0,21.0,29.8345232799
344,2601.0,21.0,14.0684470047
345,2602.0,21.0,14.3001446644
346,2702.0,21.0,42.4471498606
347,2703.0,21.0,43.7175022877
348,2705.0,21.0,44.9418033381
349,2707.0,21.0,11.8865967721
350,2708.0,21.0,11.3289419624
351,2709.0,21.0,7.49437796062
352,2710.0,21.0,13.0971731819
353,2711.0,21.0,21.1164783744
354,2712.0,21.0,34.3727751309
355,2801.0,21.0,5.42155207404
356,2803.0,21.0,43.6353770121
357,2804.0,21.0,27.1964626893
358,2902.0,21.0,49.1675440197
359,2903.0,21.0,49.2230746577
360,2904.0,21.0,17.2108967258
361,2905.0,21.0,30.2593162205
362,3001.0,21.0,28.6318112514
363,3003.0,21.0,53.9405599617
364,3004.0,21.0,15.3417111594
365,3101.0,21.0,34.7975699013
366,3103.0,21.0,42.3362283177
367,3105.0,21.0,38.922635496
368,3107.0,21.0,45.0002154
369,3109.0,21.0,53.6295898595
370,3111.0,21.0,8.31595893733
371,3112.0,21.0,33.7316556673
372,3113.0,21.0,49.2231859263
373,3114.0,21.0,42.8849803118
374,3115.0,21.0,15.1984919576
375,3201.0,21.0,20.1100785655
376,3202.0,21.0,31.3738237257
377,3208.0,21.0,31.6961343374
