,census_tract,score
0,100,81.2533721801
1,201,99.4945957275
2,202,68.2725166184
3,300,82.1081234468
4,400,74.1270003433
5,500,90.052315553
6,600,79.891953657
7,700,77.6782445899
8,800,69.4389810371
9,900,85.4079987272
10,1000,88.2964734421
11,1100,72.3239526086
12,1200,76.2874073321
13,1300,70.4081458623
14,1400,73.9799969954
15,1500,85.9789516908
16,1600,72.7350735544
17,1700,89.5469000581
18,1800,88.1731416475
19,1900,73.874910161
20,2001,48.1185709434
21,2002,81.3346360048
22,2100,84.9026052375
23,2201,70.7738830988
24,2202,70.1185596359
25,2301,82.6671073549
26,2302,72.9385072863
27,2401,76.2621257401
28,2402,68.3849364038
29,2501,53.95258924
30,2502,68.0787394699
31,2601,70.3614330489
32,2602,73.2230129705
33,2702,58.7361266398
34,2703,56.8347130019
35,2705,69.1790881732
36,2707,69.9141143437
37,2708,72.6230649807
38,2709,65.3923899212
39,2710,78.1667955028
40,2711,41.7050795406
41,2712,82.0120565268
42,2801,9.80567603445
43,2803,84.2516898366
44,2804,18.9671450112
45,2902,75.3563435973
46,2903,53.81467239
47,2904,42.4295199757
48,2905,69.7267690527
49,3001,71.7998349029
50,3003,54.2986615535
51,3004,44.5024253244
52,3101,51.5060163636
53,3103,44.5249012032
54,3105,48.0564568838
55,3107,47.0023022318
56,3109,53.6670476253
57,3111,54.4642230157
58,3112,38.8809326278
59,3113,40.7423780932
60,3114,32.6477382106
61,3115,62.4163204262
62,3201,45.8033497109
63,3202,76.1313285793
64,3208,66.8781011561
65,3209,68.2504814841
66,3211,58.5600820591
67,3212,71.4753923995
68,3213,50.8340309453
69,3214,52.9141745561
70,3301,66.5337617712
71,3303,78.2758037247
72,3304,59.3388808128
73,3305,77.1696557702
74,3401,76.5947189536
75,3403,75.4238271275
76,3404,41.7803110772
77,3501,70.920686923
78,3502,65.2591528267
79,3601,67.0870086848
80,3602,73.2397996128
81,3603,76.6495635847
82,3800,0.36893619483
83,3901,48.7559352011
84,3902,65.6806772351
85,4000,65.736320059
86,4100,69.5533220808
87,4200,58.1892242776
88,4300,80.6083607029
89,4400,94.3629911645
90,4501,80.5630582964
91,4600,82.0344777333
92,4700,67.4656963929
93,4800,77.984762941
94,4900,77.9418658625
95,5000,64.8292318776
96,5100,10.2302716467
97,5200,18.3628986274
98,5300,0.1979705004
99,5400,27.7519086572
100,5500,0.188423193761
101,5600,55.4231222438
102,5700,26.9516015716
103,5800,28.9118325683
104,5900,86.8909243138
105,6000,79.9135960065
106,6100,55.3128594928
107,6200,75.8515288999
108,6300,0.00482650857579
109,6500,42.0695490654
110,6600,5.18233840273
111,6801,83.0525662153
112,6802,82.167865047
113,6900,88.4619494057
114,7002,86.7262837429
115,7100,82.4191231665
116,7200,20.9419831839
117,7301,94.9087197135
118,7302,80.8535581823
119,7400,86.7106578327
120,7501,94.919001237
121,7502,90.9640599764
122,7600,28.3543941341
123,7701,79.1871016501
124,7702,86.4130121428
125,7800,81.1447371479
126,7903,81.2224397682
127,7905,55.5411786921
128,7907,78.1747076236
129,7908,81.1451862824
130,7910,69.557053626
131,8002,64.334698352
132,8003,75.7519802196
133,8006,64.6806315048
134,8101,65.5730420573
135,8102,4.22751604727
136,8200,70.3125382251
137,8301,52.5100172741
138,8303,22.2972047117
139,8305,71.3909432688
140,8306,47.2703098128
141,8307,77.2065218391
142,8310,8.09210540667
143,8311,1.97432964416
144,8312,90.5471274461
145,8313,23.9577468799
146,8324,60.9788482711
147,8327,70.234826231
148,8328,5.47091919545
149,8329,91.2044669944
150,8330,87.3976735568
151,8331,81.6669134686
152,8333,53.0660529833
153,8335,51.8705650093
154,8336,65.0098939502
155,8337,34.5587138153
156,8339,27.0048972586
157,8340,44.8213472353
158,8341,17.0230562556
159,8343,46.632025545
160,8344,31.4479209413
161,8345,77.7667785928
162,8346,16.0869397833
163,8347,67.2987431044
164,8348,72.481374146
165,8349,73.0334980172
166,8350,33.5178866876
167,8351,62.3932033307
168,8352,76.1029776218
169,8353,55.2497457574
170,8354,61.9674339037
171,8355,59.0061071093
172,8356,79.349772564
173,8357,75.912320099
174,8358,69.3484092871
175,8359,70.1484983545
176,8360,79.8065555661
177,8361,42.1596293737
178,8362,34.3760137294
179,8363,29.5287165478
180,8364,63.8785760683
181,8365,41.0277262117
182,8366,61.2347583879
183,8501,70.4139949556
184,8502,68.7616478011
185,8503,72.0555337081
186,8504,58.3355817133
187,8505,82.0550966819
188,8506,80.6237387386
189,8507,80.0577889578
190,8509,84.595692013
191,8510,78.9992033962
192,8511,18.3327929501
193,8512,68.1134882414
194,8513,77.7260584817
195,8600,59.0433485794
196,8701,43.6385203003
197,8702,39.8687917502
198,8800,56.1077981543
199,8901,66.1486339516
200,8902,25.057530198
201,9000,69.3728307814
202,9101,78.5841270283
203,9102,73.0120883358
204,9103,85.9748416216
205,9104,41.9501032749
206,9106,56.7241012149
207,9107,53.2238303663
208,9201,24.6682360731
209,9202,42.7812155084
210,9301,79.1709741677
211,9304,36.8977858899
212,9305,45.5207139909
213,9306,61.5262312053
214,9400,0.0740630541138
215,9502,81.7509519762
216,9504,5.16504694938
217,9505,75.8308920067
218,9506,81.3439230207
219,9507,80.3683062142
220,9509,46.9666181029
221,9510,9.07906892112
222,9511,7.59750828859
223,9602,87.3006844881
224,9603,74.0168633799
225,9604,79.8504580509
226,9703,72.3983827715
227,9704,91.8527701008
228,9705,64.2883578205
229,9706,98.0728435119
230,9801,86.0218027222
231,9802,82.3544552842
232,9804,72.858568811
233,9805,90.8650335474
234,10001,66.0689455008
235,10003,68.2996957178
236,10004,57.4005437199
237,10005,83.2234223459
238,10009,71.0004834815
239,10010,76.2113268952
240,10011,79.3569209541
241,10012,63.5835356918
242,10013,67.069760584
243,10014,0.17391433355
244,10015,2.61828025549
245,10103,85.7038719007
246,10104,80.0651487032
247,10106,85.0815319084
248,10107,68.6509475143
249,10109,49.7832730294
250,10110,41.679830279
251,10111,63.6263487233
252,10112,51.7057902378
253,10800,84.544645321
254,11000,61.4122347915
255,11100,72.4166254949
256,11300,0.0
257,11902,55.1266972799
258,13205,45.0283298105
259,13313,11.8618989429
260,13421,37.4154485155
261,13604,62.6534693586
262,14102,53.4030649291
263,14500,56.6733378221
264,14803,79.7037341796
265,14806,70.8610762432
266,15000,74.9044927105
267,15501,74.2850331702
268,16502,66.6660502778
269,17006,66.2626768654
270,17014,98.4099064941
271,17015,65.2001433445
272,17018,87.0436925152
273,17019,89.9875857522
274,17020,43.0220572566
275,17022,50.6574190561
276,17029,8.94127173062
277,17030,8.05705025275
278,17031,61.7481754426
279,17032,18.4886183698
280,17033,76.0636553382
281,17034,72.5943685421
282,17035,89.6410305837
283,17036,84.6595126992
284,17037,73.7823344267
285,17039,50.0972407434
286,17042,20.4193337504
287,17043,75.803899481
288,17044,54.2620939983
289,17045,25.7307339012
290,17046,29.2607797565
291,17047,36.7691903135
292,17050,66.9067519571
293,17051,69.470658533
294,17052,87.2609878023
295,17054,56.7917536053
296,17055,35.2655893211
297,17056,72.1942448448
298,17403,70.3547270902
299,18802,41.2378336468
300,19103,21.5706159418
301,19905,70.3101461284
302,20017,57.8940818494
303,20404,65.7424389798
304,20706,13.6490080785
305,20707,72.6375241573
306,20709,26.3667504009
307,20710,56.0939797969
308,21100,65.6770249564
309,21302,0.0661211310278
310,21400,29.4895665875
311,21500,38.7855461871
312,21800,71.5595309058
