,census_tract,score
0,100,62.7674443852
1,201,65.5497765106
2,202,35.9605420338
3,300,35.9362624448
4,400,47.5562945475
5,500,42.8850055171
6,600,45.9242650815
7,700,44.3083436256
8,800,39.2358248111
9,900,25.412765574
10,1000,34.5897322797
11,1100,52.8692722419
12,1200,14.8158915695
13,1300,16.8668579432
14,1400,46.5586315288
15,1500,28.7944617737
16,1600,14.2188563421
17,1700,3.88049247057
18,1800,5.5597781521
19,1900,30.9053815227
20,2001,57.5705071917
21,2002,45.8185717105
22,2100,11.7766483526
23,2202,31.6155090375
24,2301,42.7761026431
25,2302,10.8437541132
26,2401,27.1425760449
27,2402,17.7316371422
28,2502,11.3050292521
29,2601,6.67077802439
30,2602,27.5539789884
31,2702,7.77225293515
32,2703,4.02586337564
33,2705,19.1987576162
34,2707,12.7641957838
35,2708,19.7428975199
36,2709,29.7947952376
37,2710,34.9070619449
38,2801,54.8342228141
39,2803,14.564536187
40,2804,36.2779946848
41,2902,7.4000573222
42,2903,25.2596102877
43,2904,7.2723534014
44,2905,43.1404960832
45,3001,29.5899072738
46,3003,32.6132763485
47,3004,22.9106616289
48,3101,49.0560471738
49,3103,6.7469288962
50,3105,37.6183254206
51,3111,24.0551819258
52,3112,19.0510025171
53,3114,46.7407725715
54,3115,8.74458187603
55,3201,15.0752160864
56,3202,25.9129923182
57,3209,15.6146726631
58,3211,43.635410481
59,3212,47.354224625
60,3213,33.9793443103
61,3214,21.598315112
62,3301,35.7181246013
63,3303,11.1002086821
64,3304,50.2529800139
65,3401,25.3081539346
66,3403,31.3878318294
67,3404,25.1957036436
68,3501,22.029914109
69,3502,14.8302128096
70,3601,27.5282387991
71,3602,33.1639454653
72,3603,12.389314036
73,3901,14.1626090286
74,3902,14.2476383085
75,4000,12.1184488963
76,4100,6.52474902222
77,4200,22.2666372755
78,4300,52.1128975591
79,4400,21.2844274997
80,4501,34.5135465889
81,4600,35.5896822231
82,4800,17.4676044894
83,4900,7.07428012887
84,5000,47.7814039018
85,5100,16.8633847644
86,5200,46.9669735043
87,5300,66.0604003424
88,5400,59.8740022971
89,5600,38.5503865052
90,5700,54.6844271248
91,5800,54.9857054016
92,5900,30.1657559007
93,6000,49.2930436672
94,6100,57.5987063982
95,6200,56.9041978675
96,6500,78.2315444582
97,6600,43.206157296
98,6801,45.59037367
99,6802,40.4119009012
100,6900,15.184906176
101,7002,60.6818415241
102,7100,70.6913750222
103,7200,41.4630687846
104,7301,15.8978503577
105,7302,66.1586827105
106,7400,13.1648180295
107,7501,11.2369006593
108,7502,32.1913064507
109,7600,54.4379623022
110,7701,47.8131706651
111,7702,28.1567462855
112,7800,21.183506681
113,7903,26.4715565011
114,7905,56.4763653908
115,7907,46.1552010503
116,7908,39.8976454253
117,7910,53.4308375468
118,8002,55.0187837926
119,8003,53.6031811003
120,8006,44.665546272
121,8200,50.6904851876
122,8301,57.3108610599
123,8303,60.9736190486
124,8306,61.337875915
125,8307,61.2866478695
126,8310,60.5986881321
127,8327,36.4441773398
128,8328,59.2983585103
129,8329,51.3657745231
130,8330,37.9341083177
131,8331,59.4233178492
132,8333,0.190250479166
133,8335,3.26123763221
134,8336,64.7908920632
135,8337,42.3067839553
