,census_tract,score
0,100,37.2344107652
1,201,37.1478383175
2,202,37.5592130643
3,300,44.3491215666
4,400,39.0985079085
5,500,52.1765187605
6,600,48.7861336972
7,700,42.013619844
8,800,46.6557330162
9,900,29.9157082039
10,1000,25.4157110557
11,1100,43.9571035749
12,1200,21.3569955026
13,1300,19.4345024511
14,1400,31.8827677587
15,1500,38.2629221977
16,1600,25.4567567424
17,1700,15.6499421993
18,1800,17.0217054603
19,1900,53.1268041676
20,2001,63.4105938637
21,2002,50.0817067037
22,2100,17.3894986488
23,2201,50.7587756244
24,2202,49.6736286226
25,2301,56.1561274015
26,2302,25.5942070439
27,2401,30.1443843059
28,2402,28.7893637968
29,2501,34.6150513544
30,2502,20.9628146437
31,2601,19.3511131701
32,2602,32.4898226342
33,2702,23.6770898431
34,2703,6.13793875072
35,2705,39.1571595192
36,2707,18.3956314575
37,2708,37.4185538765
38,2709,43.2214934957
39,2710,35.9448373108
40,2711,47.395649679
41,2712,40.7922163535
42,2801,54.9937368673
43,2803,36.8432478386
44,2804,32.2849166823
45,2902,33.6960780272
46,2903,42.4039379086
47,2904,22.3506203634
48,2905,33.4397616802
49,3001,47.2303066331
50,3003,18.6790293329
51,3004,21.3737251192
52,3101,53.5927466789
53,3103,16.4088571421
54,3105,38.2059320142
55,3107,16.3705628562
56,3109,39.3605317813
57,3111,28.0112619713
58,3112,23.9486730956
59,3113,42.2281799499
60,3114,55.3102818105
61,3115,20.945120498
62,3201,41.979632932
63,3202,46.4342634003
64,3208,20.555646353
65,3209,30.4508463981
66,3211,61.5675999688
67,3212,45.2940775294
68,3213,40.9165024895
69,3214,36.621710813
70,3301,57.72073329
71,3303,21.0225490334
72,3304,48.4679561039
73,3305,21.9878911894
74,3401,24.6377815269
75,3403,30.5017467769
76,3404,35.4257061503
77,3501,34.0194535577
78,3502,31.7632639389
79,3601,48.383446209
80,3602,42.9798146447
81,3603,30.6112965477
82,3800,0.000264069317392
83,3901,41.0689460683
84,3902,24.2057039202
85,4000,20.0046444706
86,4100,14.2155949933
87,4200,23.6815054047
88,4300,20.8037921532
89,4400,39.289965889
90,4501,45.190859929
91,4600,41.5555194231
92,4700,57.8707118677
93,4800,28.3498488725
94,4900,26.3903082652
95,5000,47.7792084875
96,5100,33.2289475941
97,5200,62.206178785
98,5300,19.2831657354
99,5400,53.4235586758
100,5500,45.0688320326
101,5600,41.7596563301
102,5700,59.6744714214
103,5800,64.698087924
104,5900,42.2028503577
105,6000,52.4837316841
106,6100,47.9828414787
107,6200,42.3865900703
108,6300,0.05787121854
109,6500,59.415596268
110,6600,69.0180279995
111,6801,66.5624646807
112,6802,39.1748847376
113,6900,40.8070532496
114,7002,64.8193819291
115,7100,23.4391544638
116,7200,52.1456490638
117,7301,23.2321127657
118,7302,67.0692890989
119,7400,19.2312528434
120,7501,32.2156600508
121,7502,35.4041024306
122,7600,43.3198939081
123,7701,57.5779957677
124,7702,44.2422970277
125,7800,18.8468841189
126,7903,29.1980289295
127,7905,55.5151742851
