,census_tract,score
0,100,37.2589747707
1,201,59.2314158935
2,202,25.3149273925
3,300,64.0763064481
4,400,82.4316100932
5,500,51.9103457239
6,600,58.5223874204
7,700,45.6236728653
8,800,40.500718494
9,900,56.122875388
10,1000,55.1025905313
11,1100,59.2251597615
12,1200,40.689487333
13,1300,38.9640333697
14,1400,32.8891903894
15,1500,32.0427738033
16,1600,33.8007373966
17,1700,32.4970560628
18,1800,37.0718877925
19,1900,15.5712620107
20,2001,20.7142106656
21,2002,26.1713130575
22,2100,38.0460427102
23,2201,29.5684193185
24,2202,34.111649985
25,2301,43.3304338924
26,2302,33.1329518345
27,2401,30.0887940765
28,2402,29.2405977743
29,2501,21.0445139394
30,2502,14.9182398737
31,2601,17.4590994815
32,2602,30.8510749059
33,2702,15.3751247317
34,2703,13.8224363183
35,2705,10.5042413821
36,2707,30.191173917
37,2708,31.8152894744
38,2709,24.1785663214
39,2710,37.3163104478
40,2711,5.28617749185
41,2712,32.4982985637
42,2801,10.8485180563
43,2803,33.0235485192
44,2804,4.62566291069
45,2902,29.9495848929
46,2903,4.36176808822
47,2904,35.4299289444
48,2905,60.1342836414
49,3001,13.9078439825
50,3003,16.6122712791
51,3004,14.0597587992
52,3101,21.0514116869
53,3103,3.15308252715
54,3105,14.0266905504
55,3107,1.72556964933
56,3109,12.3332391708
57,3111,24.4897901557
58,3112,4.30461663316
59,3113,5.45821685822
60,3114,2.85608420329
61,3115,11.5821921722
62,3201,5.26935119425
63,3202,23.4084751433
64,3208,17.8821985306
65,3209,15.0695166392
66,3211,12.8974299168
67,3212,17.4314798205
68,3213,3.31340140704
69,3301,23.0947415828
70,3303,21.9233994172
71,3304,42.2427905481
72,3305,29.8755760244
73,3401,32.743879232
74,3403,39.2799914825
75,3404,18.8017760937
76,3501,25.3420760005
77,3502,26.2134939364
78,3603,21.3042998713
79,3901,16.6968205183
80,4000,27.1874117792
81,4100,37.3973759421
82,4200,11.9120082348
83,4300,42.367975514
84,4400,44.8672378382
85,4501,39.6320637475
86,4600,37.5492222133
87,4700,35.4991930404
88,4800,37.6189383902
89,4900,24.386563057
90,5000,35.7557342795
91,5100,32.7385695178
92,5200,33.2539543575
93,5300,38.4547697221
94,5400,46.5015658807
95,5600,15.755788807
96,5700,45.5109178435
97,5800,8.91945633531
98,5900,38.2868270753
99,6000,73.0694590623
100,6100,24.9998932925
101,6500,73.056203813
102,6600,2.36524412686
103,6801,40.777354579
104,6802,51.8508724789
105,6900,26.3448678041
106,7002,42.6297806288
107,7100,61.4852950863
108,7200,0.460896122309
109,7301,59.1788276172
110,7302,48.4503407396
111,7400,46.4684346617
112,7501,49.704389092
113,7502,59.8224085403
114,7600,37.5753658352
115,7701,47.2165292188
116,7702,47.786629051
117,7800,60.973808912
118,7903,51.6701585166
119,7905,58.2947005295
120,7907,53.241444445
121,7908,54.4200468374
122,7910,61.7109594425
123,8002,29.1488843742
124,8003,56.406189575
125,8006,22.0089738353
126,8301,11.527468171
127,8305,35.5201205847
128,8306,15.8880406775
129,8307,50.222270164
130,8310,7.97659827271
131,8327,17.054458411
132,8328,2.82962798636
133,8329,58.4774649916
134,8330,45.0513589994
135,8331,37.2476972143
136,8333,16.9529460922
137,8335,14.5686332419
138,8336,37.2897348665
139,8337,8.96330246382
140,8339,43.4416144995
141,8340,33.2539872958
142,8341,30.4294675174
143,8343,26.1274506278
144,8344,24.1947724374
145,8345,42.3568637803
