,census_tract,score
0,100,4.42976475348
1,201,62.9389657416
2,202,45.1468615998
3,300,50.0624624071
4,400,31.5767374047
5,500,67.6624636042
6,600,67.2923283073
7,700,50.5768397277
8,800,75.9268764876
9,900,20.7863666411
10,1000,45.5094315954
11,1100,70.5817680865
12,1200,74.9388421618
13,1300,53.8678369267
14,1400,79.5373711873
15,1500,50.7776829695
16,1600,40.6526320629
17,1700,33.9175996132
18,1800,7.42407970505
19,1900,62.4588871665
20,2001,41.0051064085
21,2002,51.5019353223
22,2100,39.1765338689
23,2201,26.1375108696
24,2202,15.7504769914
25,2301,62.0058558396
26,2302,19.0537887031
27,2401,43.8167329183
28,2402,77.8162745496
29,2501,42.6145924795
30,2502,45.4783342657
31,2601,46.0047892027
32,2602,60.0056095892
33,2702,45.8399711984
34,2703,35.1518290196
35,2705,43.5378683626
36,2707,61.6221875382
37,2708,28.2798318995
38,2709,37.5601540248
39,2710,47.3907302152
40,2711,41.6050905388
41,2712,60.4417645772
42,2801,88.7337509249
43,2803,50.5458143565
44,2804,49.0176662739
45,2902,56.8088872276
46,2903,39.275380462
47,2904,87.2222892683
48,2905,39.9190302485
49,3001,51.6338262083
50,3003,41.6258450466
51,3004,32.8956044558
52,3101,56.003247651
53,3103,24.5092187983
54,3105,41.5128324443
55,3107,39.6305186139
56,3109,45.7059836695
57,3111,35.317651813
58,3112,18.531916262
59,3113,57.6403081441
60,3114,58.7765867609
61,3115,44.8156938854
62,3201,46.9552496924
63,3202,38.8870219079
64,3208,33.2092949465
65,3209,41.0660573832
66,3211,54.2567851299
67,3212,20.4506238728
68,3213,42.2658801349
69,3214,48.7622184579
70,3301,54.531188474
71,3303,42.15426639
72,3304,41.1132579645
73,3305,57.0063784942
74,3401,57.1684566218
75,3403,35.3479883346
76,3404,46.2349790431
77,3501,21.5903781763
78,3502,34.7231516925
79,3601,24.2139615338
80,3602,32.0178296613
81,3603,38.0509869006
82,3800,0.0
83,3901,24.5694242735
84,3902,19.2388559571
85,4000,42.3605323972
86,4100,35.7551329942
87,4200,42.9912143762
88,4300,71.2304524738
89,4400,4.44206680896
90,4501,28.5426616544
91,4600,90.9975250343
92,4700,90.29855321
93,4800,40.8357937384
94,4900,45.0155781318
95,5000,70.477062723
